DEBUG | 2018-03-23 15:03:41,990 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Included patterns for restart : []
DEBUG | 2018-03-23 15:03:41,999 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Excluded patterns for restart : [/spring-boot-starter/target/classes/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot/target/classes/, /spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/]
DEBUG | 2018-03-23 15:03:41,999 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.restart.ChangeableUrls | Matching URLs for reloading : [file:/C:/Users/wangx/workspace/cxgm-parent/cxgm-framework/cxgm-eureka-register/target/classes/]
DEBUG | 2018-03-23 15:16:40,202 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Included patterns for restart : []
DEBUG | 2018-03-23 15:16:40,204 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Excluded patterns for restart : [/spring-boot-starter/target/classes/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot/target/classes/, /spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/]
DEBUG | 2018-03-23 15:16:40,204 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.restart.ChangeableUrls | Matching URLs for reloading : [file:/C:/Users/wangx/workspace/cxgm-parent/cxgm-framework/cxgm-eureka-register/target/classes/]
DEBUG | 2018-03-23 15:34:23,191 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Included patterns for restart : []
DEBUG | 2018-03-23 15:34:23,195 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Excluded patterns for restart : [/spring-boot-starter/target/classes/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot/target/classes/, /spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/]
DEBUG | 2018-03-23 15:34:23,196 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.restart.ChangeableUrls | Matching URLs for reloading : [file:/C:/Users/wangx/workspace/cxgm-parent/cxgm-framework/cxgm-eureka-register/target/classes/]
DEBUG | 2018-03-23 15:35:31,153 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Included patterns for restart : []
DEBUG | 2018-03-23 15:35:31,157 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Excluded patterns for restart : [/spring-boot-starter/target/classes/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot/target/classes/, /spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/]
DEBUG | 2018-03-23 15:35:31,157 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.restart.ChangeableUrls | Matching URLs for reloading : [file:/C:/Users/wangx/workspace/cxgm-parent/cxgm-framework/cxgm-zuul/target/classes/]
DEBUG | 2018-03-23 15:45:08,470 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Included patterns for restart : []
DEBUG | 2018-03-23 15:45:08,471 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Excluded patterns for restart : [/spring-boot-starter/target/classes/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot/target/classes/, /spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/]
DEBUG | 2018-03-23 15:45:08,472 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.restart.ChangeableUrls | Matching URLs for reloading : [file:/C:/Users/wangx/workspace/cxgm-parent/cxgm-framework/cxgm-eureka-register/target/classes/]
DEBUG | 2018-03-23 15:45:40,763 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Included patterns for restart : []
DEBUG | 2018-03-23 15:45:40,765 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.settings.DevToolsSettings | Excluded patterns for restart : [/spring-boot-starter/target/classes/, /spring-boot-autoconfigure/target/classes/, /spring-boot-starter-[\w-]+/, /spring-boot/target/classes/, /spring-boot-actuator/target/classes/, /spring-boot-devtools/target/classes/]
DEBUG | 2018-03-23 15:45:40,765 | [FILE_NAME_IS_UNDEFINED,,,] | main org.springframework.boot.devtools.restart.ChangeableUrls | Matching URLs for reloading : [file:/C:/Users/wangx/workspace/cxgm-parent/cxgm-framework/cxgm-zuul/target/classes/]
